obs  precinct  busha bushm gorea gorem brownea brownem nadera naderm harrisa harrism hagelina hagelinm buchanana buchananm mcreynoldsa mcreynoldsm phillipsa phillipsm mooreheada mooreheadm undera underm overa overm
204 87C    0   0    0    0  0  0  0  0 0 0 0 0  0  0 0 0 0 0 0 0  0  0   0   0
205 88   239 239  313  313  3  3  9  9 1 1 0 0  9  9 2 2 0 0 0 0  8  8  18  18
206 88A   17  17   44   44  0  0  4  4 0 0 0 0  0  0 0 0 0 0 0 0  0  0   0   0
207 88B   75  75  150  150  0  0  7  7 0 0 0 0  1  1 1 1 0 0 0 0  0  0  13  13
208 89   431 431  559  559  5  5 17 17 0 0 0 0  3  3 0 0 0 0 1 1  8  8  31  31
209 90   493 493  234  235  5  5 17 17 0 0 0 0  3  3 0 0 0 0 0 0  7  5  22  23
210 91   195 195  497  498  4  4  6  6 0 0 0 0  5  5 0 0 1 1 1 1  5  5  45  44
211 92   244 244  385  385  0  0  6  6 0 0 0 0  9  9 0 0 0 0 1 1  3  3  39  39
212 92A    2   2    0    0  0  0  0  0 0 0 0 0  0  0 0 0 0 0 0 0  0  0   0   0
213 93   579 581  633  635  1  1 20 20 0 0 1 1  1  1 0 0 0 0 2 2 10  6  36  36
214 93A  409 409  349  349  5  5 13 13 0 0 0 0  3  3 0 0 0 0 1 1  2  2  18  18
215 93B  637 637  762  763  2  2 17 17 0 0 1 1  1  1 1 1 1 1 1 1 16 16  37  36
216 94   440 440  911  911  4  4 17 18 0 0 1 1 12 12 1 1 1 1 0 0  7  5 102 103
217 95   268 268  409  410  1  1 10 10 0 0 0 0  6  6 0 0 0 0 0 0  5  4  36  36
218 95A   89  89  267  267  0  0  2  2 0 0 0 0  3  3 0 0 0 0 0 0  4  3  34  35
219 96   197 197  238  238  0  0  6  6 0 0 1 1  2  2 0 0 1 1 0 0  9  9  29  29
220 96A   86  86  191  191  0  0  4  4 0 0 0 0  0  0 0 0 0 0 0 0  1  1  11  11
221 97   595 596  264  264  1  1  6  6 0 0 0 0  3  4 0 0 0 0 0 0 14 12  70  70
222 97A   70  70   90   91  0  0  1  1 0 0 0 0  1  1 0 0 0 0 0 0  2  2  13  12
223 97B   60  60  364  364  1  1  1  1 0 0 0 0  3  3 1 1 0 0 0 0 17 17  63  63
224 99     1   1  212  213  0  0  0  0 1 1 0 0  4  4 1 1 0 0 0 0 15 14  49  49
225 100    8   8  553  555  2  2  2  2 1 0 0 0  9  9 4 4 1 0 0 0 27 26 107 108
226 101  352 355  344  344  0  0  8  8 0 0 0 0  3  3 1 1 0 0 0 0 14 10  42  43
227 101A  51  51   88   88  1  1  6  6 0 0 1 1  2  2 0 0 0 0 0 0  0  0   6   6
228 102  415 415  542  542  3  3 15 15 0 0 0 0  8  8 0 0 0 0 0 0 16 16  60  60
229 103   83  83  157  158  1  1  4  4 0 0 0 0  2  2 0 0 0 0 0 0  4  4  13  12
230 104  140 143  270  271  0  0  6  6 0 0 3 3  0  0 0 0 0 0 0 0 10  6  34  34
231 104A  33  33   33   33  0  0  0  0 0 0 0 0  0  0 0 0 0 0 0 0  0  0   1   1
232 104B 580 584  826  828  3  3 30 30 0 0 1 1 13 13 0 0 2 2 1 1 28 22  54  54
233 104C  16  16   24   24  0  0  0  0 0 0 0 0  0  0 0 0 0 0 0 0  4  4   8   8
234 105  484 484  548  548  2  2 21 21 0 0 0 0  8  8 0 0 0 0 0 0 10 10  24  24
